"estacao","estacao.nome","cidade","estado","regiao","situacao","latitude","longitude","altitude"
"A701","SAO PAULO - MIRANTE"," MIRANTE","SP","Sudeste","Operante",-23.49638888,-46.61999999,785.64
"A345","SAO RAIMUNDO NONATO","SAO RAIMUNDO NONATO","PI","Nordeste","Pane",-9.03305554,-42.70111111,385
"A547","SAO ROMAO","SAO ROMAO","MG","Sudeste","Operante",-16.36277777,-45.12388888,490.29
"A561","SAO SEBASTIAO DO PARAISO","SAO SEBASTIAO DO PARAISO","MG","Sudeste","Operante",-20.91,-47.11416666,845
"A770","SAO SIMAO","SAO SIMAO","SP","Sudeste","Operante",-21.46111111,-47.57944443,620
"A011","SAO SIMAO","SAO SIMAO","GO","Centro-oeste","Operante",-18.96916666,-50.63333333,492.45
"A889","SAO VICENTE DO SUL","SAO VICENTE DO SUL","RS","Sul","Operante",-29.70222222,-54.69444444,134
"A911","SAPEZAL","SAPEZAL","MT","Centro-oeste","Operante",-13.30388888,-58.76333333,105
"A667","SAQUAREMA - SAMPAIO CORREIA"," SAMPAIO CORREIA","RJ","Sudeste","Operante",-22.8711111,-42.60888888,26
"A428","SENHOR DO BONFIM","SENHOR DO BONFIM","BA","Nordeste","Operante",-10.44305555,-40.14833333,532.09
"A894","SERAFINA CORREA","SERAFINA CORREA","RS","Sul","Operante",-28.70472222,-51.87083332,485.29
"A601","SEROPEDICA-ECOLOGIA AGRICOLA","ECOLOGIA AGRICOLA","RJ","Sudeste","Operante",-22.75777777,-43.68472221,35
"A522","SERRA DOS AIMORES","SERRA DOS AIMORES","MG","Sudeste","Operante",-17.79888888,-40.25,211.97
"A230","SERRA DOS CARAJAS","SERRA DOS CARAJAS","PA","Norte","Pane",-6.07749999,-50.14222221,707
"A943","SERRA NOVA DOURADA","SERRA NOVA DOURADA","MT","Centro-oeste","Pane",-11.98777777,-51.4261111,441
"A350","SERRA TALHADA","SERRA TALHADA","PE","Nordeste","Pane",-7.95416666,-38.29499999,499.02
"A441","SERRINHA","SERRINHA","BA","Nordeste","Pane",-11.66472222,-39.02305554,337.79
"A569","SETE LAGOAS","SETE LAGOAS","MG","Sudeste","Operante",-19.45527777,-44.17333332,719
"A751","SETE QUEDAS","SETE QUEDAS","MS","Centro-oeste","Operante",-23.96694443,-55.02416666,398.4
"A754","SIDROLANDIA","SIDROLANDIA","MS","Centro-oeste","Operante",-20.98166666,-54.97194443,471.43
"A659","SILVA JARDIM","SILVA JARDIM","RJ","Sudeste","Operante",-22.64583333,-42.41555555,19
"A037","SILVANIA","SILVANIA","GO","Centro-oeste","Operante",-16.67972221,-48.61805554,952
"A917","SINOP","SINOP","MT","Centro-oeste","Operante",-11.98222221,-55.56611111,366.57
"A306","SOBRAL","SOBRAL","CE","Nordeste","Pane",-3.74805555,-40.34583333,92.07
"A837","SOLEDADE","SOLEDADE","RS","Sul","Operante",-28.859211,-52.542387,660.44
"A761","SONORA","SONORA","MS","Centro-oeste","Operante",-17.63527777,-54.76055555,495.25
"A904","SORRISO","SORRISO","MT","Centro-oeste","Operante",-12.555,-55.72277777,379.31
"A227","SOURE","SOURE","PA","Norte","Operante",-0.72777777,-48.51583333,12.54
"A328","SURUBIM","SURUBIM","PE","Nordeste","Pane",-7.83972221,-35.80111111,421.44
"A899","Santa Vitoria do Palmar - Barra do Chui"," Barra do Chui","RS","Sul","Operante",-33.74222221,-53.37222221,7.41
"A902","TANGARA DA SERRA","TANGARA DA SERRA","MT","Centro-oeste","Operante",-14.65,-57.43166666,440.01
"A324","TAUA","TAUA","CE","Nordeste","Pane",-6.01749999,-40.28138888,410.87
"A728","TAUBATE","TAUBATE","SP","Sudeste","Operante",-23.04166666,-45.52083332,582.26
"A527","TEOFILO OTONI","TEOFILO OTONI","MG","Sudeste","Operante",-17.89277777,-41.51555555,467.17
"A312","TERESINA","TERESINA","PI","Nordeste","Pane",-5.03472221,-42.80138888,75.23
"A618","TERESOPOLIS-PARQUE NACIONAL","PARQUE NACIONAL","RJ","Sudeste","Operante",-22.4486111,-42.98694444,981
"A882","TEUTONIA","TEUTONIA","RS","Sul","Operante",-29.44916666,-51.82333332,81
"A368","TIANGUA","TIANGUA","CE","Nordeste","Pane",-3.73222221,-41.01194444,756
"A511","TIMOTEO","TIMOTEO","MG","Sudeste","Operante",-19.57388888,-42.62249999,493.42
"A213","TOME ACU","TOME ACU","PA","Norte","Operante",-2.59249999,-48.36055555,42.95
"A834","TRAMANDAI","TRAMANDAI","RS","Sul","Pane",-30.01027777,-50.13583333,4.56
"A704","TRES LAGOAS","TRES LAGOAS","MS","Centro-oeste","Operante",-20.79499999,-51.71333333,328.94
"A528","TRES MARIAS","TRES MARIAS","MG","Sudeste","Operante",-18.200855,-45.459836,931.01
"A625","TRES RIOS","TRES RIOS","RJ","Sudeste","Operante",-22.09833333,-43.20833333,295
"A234","TUCUMA","TUCUMA","PA","Norte","Operante",-6.74333333,-51.14194444,320.93
"A229","TUCURUI","TUCURUI","PA","Norte","Operante",-3.82277777,-49.67499999,137.94
"A768","TUPA","TUPA","SP","Sudeste","Operante",-21.92722221,-50.49027777,498
"A886","TUPANCIRETA","TUPANCIRETA","RS","Sul","Operante",-29.08944444,-53.82666666,462
"A219","TURIACU","TURIACU","MA","Nordeste","Operante",-1.66111111,-45.37249999,35.86
"A568","UBERABA","UBERABA","MG","Sudeste","Operante",-19.71,-47.96194444,778
"A507","UBERLANDIA","UBERLANDIA","MG","Sudeste","Operante",-18.91694443,-48.25555555,874.77
"A437","UNA","UNA","BA","Nordeste","Operante",-15.28027777,-39.09138888,74.08
"A542","UNAI","UNAI","MG","Sudeste","Operante",-16.55416666,-46.88194443,640.85
"A124","URUCARA","URUCARA","AM","Norte","Operante",-2.53472221,-57.75805555,18.49
"A346","URUCUI","URUCUI","PI","Nordeste","Operante",-7.44138888,-44.34499999,398.83
"A809","URUGUAIANA","URUGUAIANA","RS","Sul","Operante",-29.83999999,-57.08194443,74.29
"A814","URUSSANGA","URUSSANGA","SC","Sul","Operante",-28.53249999,-49.31527777,40.56
"A880","VACARIA","VACARIA","RS","Sul","Operante",-28.51361111,-50.88277777,969.89
"A611","VALENCA","VALENCA","RJ","Sudeste","Operante",-22.35805555,-43.69555555,370
"A444","VALENCA","VALENCA","BA","Nordeste","Pane",-13.3436111,-39.12666666,93.12
"A363","VALENCA DO PIAUI","VALENCA DO PIAUI","PI","Nordeste","Operante",-6.4236111,-41.74888888,372
"A734","VALPARAISO","VALPARAISO","SP","Sudeste","Operante",-21.31916666,-50.93027777,381.9
"A515","VARGINHA","VARGINHA","MG","Sudeste","Operante",-21.56638888,-45.40416666,949.78
"A633","VENDA NOVA DO IMIGRANTE","VENDA NOVA DO IMIGRANTE","ES","Sudeste","Operante",-20.38555555,-41.18999999,722
"A872","VENTANIA","VENTANIA","PR","Sul","Operante",-24.28027777,-50.21027777,1093.41
"A510","VICOSA","VICOSA","MG","Sudeste","Operante",-20.762607,-42.864013,697.64
"A922","VILA BELA DA SANTISSIMA TRINDADE","VILA BELA DA SANTISSIMA TRINDADE","MT","Centro-oeste","Operante",-15.06277777,-59.87305554,213
"A634","VILA VELHA","VILA VELHA","ES","Sudeste","Operante",-20.46694443,-40.40388888,25
"A938","VILHENA","VILHENA","RO","Norte","Operante",-12.73499999,-60.15777777,583.3
"A612","VITORIA","VITORIA","ES","Sudeste","Operante",-20.27083332,-40.30583333,9
"A414","VITORIA DA CONQUISTA","VITORIA DA CONQUISTA","BA","Nordeste","Operante",-14.88638888,-40.80138888,879.38
"A858","XANXERE","XANXERE","SC","Sul","Operante",-26.938666,-52.39809,878.74
"A247","XINGUARA","XINGUARA","PA","Norte","Operante",-7.11055555,-49.9261111,245
"A255","ZE DOCA","ZE DOCA","MA","Nordeste","Operante",-3.26916666,-45.65111111,45.5
