"estacao","estacao.nome","cidade","estado","regiao","situacao","latitude","longitude","altitude"
"A567","MACHADO","MACHADO","MG","Sudeste","Pane",-21.68083332,-45.94444444,969
"A864","MAJOR VIEIRA","MAJOR VIEIRA","SC","Sul","Operante",-26.3936111,-50.36333333,799.58
"A820","MAL, CANDIDO RONDON","MAL, CANDIDO RONDON","PR","Sul","Operante",-24.53333333,-54.01916666,392.07
"A119","MANACAPURU","MANACAPURU","AM","Norte","Operante",-3.29472221,-60.62833332,36.57
"A101","MANAUS","MANAUS","AM","Norte","Operante",-3.10333333,-60.01638888,61.25
"A556","MANHUACU","MANHUACU","MG","Sudeste","Operante",-20.26333333,-42.18277777,819.47
"A133","MANICORE","MANICORE","AM","Norte","Operante",-5.7886111,-61.28833333,40.64
"A540","MANTENA","MANTENA","MG","Sudeste","Operante",-18.78062,-40.986505,254.91
"A240","MARABA","MARABA","PA","Norte","Pane",-5.36638888,-49.05111111,116.58
"A731","MARACAJU","MARACAJU","MS","Centro-oeste","Operante",-21.60916666,-55.17749999,388.94
"A438","MARAU","MARAU","BA","Nordeste","Pane",-13.90694444,-38.97222221,6.24
"A137","MARECHAL THAUMATURGO","MARECHAL THAUMATURGO","AC","Norte","Pane",-8.95,-72.78666666,220.98
"A531","MARIA DA FE","MARIA DA FE","MG","Sudeste","Operante",-22.31444444,-45.37305554,1281.43
"A041","MARIANOPOLIS DO TO","MARIANOPOLIS DO TO","TO","Norte","Operante",-9.57638888,-49.72333332,186.69
"A632","MARILANDIA","MARILANDIA","ES","Sudeste","Operante",-19.40722222,-40.53972221,95
"A763","MARILIA","MARILIA","SP","Sudeste","Operante",-22.23527777,-49.965,660
"A835","MARINGA","MARINGA","PR","Sul","Operante",-23.40527777,-51.93277777,548.51
"A040","MATEIROS","MATEIROS","TO","Norte","Operante",-10.43444444,-45.92194443,791
"A122","MAUES","MAUES","AM","Norte","Pane",-3.39888888,-57.67388888,25.49
"A209","MEDICILANDIA","MEDICILANDIA","PA","Norte","Pane",-3.51083333,-52.96333333,251.68
"A246","MINA DO PALITO","MINA DO PALITO","PA","Norte","Pane",-6.31999999,-55.78777777,259.88
"A026","MINEIROS","MINEIROS","GO","Centro-oeste","Pane",-17.45472222,-52.60111111,862
"A722","MIRANDA","MIRANDA","MS","Centro-oeste","Operante",-20.39555555,-56.43166666,132.49
"A539","MOCAMBINHO","MOCAMBINHO","MG","Sudeste","Operante",-15.08583333,-44.01611111,454
"A526","MONTALVANIA","MONTALVANIA","MG","Sudeste","Operante",-14.40833333,-44.40416666,519.52
"A239","MONTE ALEGRE","MONTE ALEGRE","PA","Norte","Operante",-2,-54.07638888,100.53
"A032","MONTE ALEGRE DE GOIAS","MONTE ALEGRE DE GOIAS","GO","Centro-oeste","Operante",-13.25361111,-46.89027777,552
"A509","MONTE VERDE","MONTE VERDE","MG","Sudeste","Operante",-22.86166666,-46.04333333,1544.89
"A334","MONTEIRO","MONTEIRO","PB","Nordeste","Pane",-7.89444444,-37.12472221,606.39
"A506","MONTES CLAROS","MONTES CLAROS","MG","Sudeste","Operante",-16.68638888,-43.84388888,645.87
"A332","MORADA NOVA","MORADA NOVA","CE","Nordeste","Operante",-5.0911111,-38.36472222,93
"A873","MORRETES","MORRETES","PR","Sul","Operante",-25.50888888,-48.80861111,50.31
"A003","MORRINHOS","MORRINHOS","GO","Centro-oeste","Operante",-17.74499999,-49.10166666,751.09
"A318","MOSSORO","MOSSORO","RN","Nordeste","Operante",-4.90416666,-37.36694443,29.44
"A878","MOSTARDAS","MOSTARDAS","RS","Sul","Pane",-31.24833333,-50.90638888,3.82
"A517","MURIAE","MURIAE","MG","Sudeste","Operante",-21.105,-42.37583332,282.79
"A304","NATAL","NATAL","RN","Nordeste","Operante",-5.83722221,-35.20805555,47.46
"A717","NHUMIRIM","NHUMIRIM","MS","Centro-oeste","Operante",-18.9886111,-56.62277777,102.26
"A627","NITEROI","NITEROI","RJ","Sudeste","Operante",-22.86749999,-43.10194444,6
"A453","NOSSA SENHORA DA GLORIA","NOSSA SENHORA DA GLORIA","SE","Nordeste","Operante",-10.20777777,-37.43194443,271
"A842","NOVA FATIMA","NOVA FATIMA","PR","Sul","Operante",-23.41527777,-50.57777777,664.31
"A624","NOVA FRIBURGO - SALINAS"," SALINAS","RJ","Sudeste","Operante",-22.33472221,-42.67694443,1070
"A928","NOVA MARINGA","NOVA MARINGA","MT","Centro-oeste","Operante",-13.0386111,-57.09222221,334.36
"A563","NOVA PORTEIRINHA (JANAUBA)","NOVA PORTEIRINHA","MG","Sudeste","Operante",-15.80277777,-43.29694444,532
"A822","NOVA TEBAS","NOVA TEBAS","PR","Sul","Operante",-24.43388888,-51.95388888,660
"A929","NOVA UBIRATA","NOVA UBIRATA","MT","Centro-oeste","Pane",-13.41111111,-54.75222222,466.48
"A144","NOVO ARIPUANA","NOVO ARIPUANA","AM","Norte","Operante",-8.0911111,-60.38055554,45
"A816","NOVO HORIZONTE","NOVO HORIZONTE","SC","Sul","Operante",-26.40638888,-52.85027777,943.57
"A235","NOVO REPARTIMENTO","NOVO REPARTIMENTO","PA","Norte","Operante",-4.24388888,-49.93944444,100.76
"A232","OBIDOS","OBIDOS","PA","Norte","Operante",-1.88083332,-55.51972221,89.64
"A354","OEIRAS","OEIRAS","PI","Nordeste","Operante",-6.97416666,-42.14694444,154.03
"A242","OIAPOQUE","OIAPOQUE","AP","Norte","Operante",3.81361111,-51.8625,15.14
"A570","OLIVEIRA","OLIVEIRA","MG","Sudeste","Operante",-20.715,-44.86444444,1025
"A366","OURICURI","OURICURI","PE","Nordeste","Operante",-7.88583333,-40.10277777,457.85
"A716","OURINHOS","OURINHOS","SP","Sudeste","Operante",-23.00055555,-49.84333333,500
"A513","OURO BRANCO","OURO BRANCO","MG","Sudeste","Operante",-20.55666666,-43.75611111,1048.2
"A210","PACAJA","PACAJA","PA","Norte","Operante",-3.8436111,-50.63805555,89.02
"A357","PALMARES","PALMARES","PE","Nordeste","Operante",-8.66666666,-35.56805554,164.01
"A009","PALMAS","PALMAS","TO","Norte","Operante",-10.14777777,-48.31444444,267
"A856","PALMEIRA DAS MISSOES","PALMEIRA DAS MISSOES","RS","Sul","Operante",-27.92027777,-53.31805554,614.11
